Month,Category,Type,Amount,Notes
2024-09-01,Health,Expense,1500.0,Gym membership
2024-09-01,Entertainment,Expense,2200.0,Marathon travel
2024-09-01,Savings,Savings,31400.0,Monthly savings deposit
2024-10-01,Salary,Income,48000.0,Monthly salary
2024-10-01,Freelance,Income,8000.0,Tutoring income
2024-10-01,Rent,Expense,12000.0,House rent
2024-10-01,Food,Expense,6600.0,Groceries and meals
2024-10-01,Transport,Expense,2300.0,Bus and fuel
2024-10-01,Utilities,Expense,6600.0,Missing entry
2024-10-01,Health,Expense,1500.0,Gym membership
2024-10-01,Entertainment,Expense,1000.0,Eating out and leisure
2024-10-01,Savings,Savings,32600.0,Monthly savings deposit
2024-11-01,Salary,Income,48000.0,Monthly salary
2024-11-01,Freelance,Income,6000.0,Tutoring income
2024-11-01,Rent,Expense,12000.0,House rent
2024-11-01,Food,Expense,7100.0,Groceries and meals
2024-11-01,Transport,Expense,2500.0,Bus and fuel
2024-11-01,Utilities,Expense,2000.0,Electricity and water
2024-11-01,Health,Expense,1500.0,Gym membership
2024-11-01,Entertainment,Expense,1300.0,Eating out and leisure
2024-11-01,Savings,Savings,27700.0,Monthly savings deposit
2024-12-01,Salary,Income,48000.0,Monthly salary
2024-12-01,Freelance,Income,15000.0,Year-end bonus
2024-12-01,Rent,Expense,12000.0,House rent
2024-12-01,Food,Expense,9500.0,Festive season groceries
2024-12-01,Transport,Expense,3200.0,Bus and fuel
2024-12-01,Utilities,Expense,2500.0,Electricity and water
2024-12-01,Health,Expense,2000.0,Year-end health checkup
2024-12-01,Entertainment,Expense,3500.0,Dashain and festive spending
2024-12-01,Savings,Savings,29300.0,Monthly savings deposit
